video_id,pair_id,model,prompt_id,seed,category,difficulty,motion_group,target_color,predicted_color,initial_color_proxy_correct,initial_margin,later_predicted_color,later_color_proxy_correct,generation_seconds,peak_allocated_gib,peak_reserved_gib,video_sha256
wan_P001_S00,P001_S00,wan,P001,0,human_clothing,easy,human_clothing_0,red,yellow,0,-0.04979228973388672,yellow,0,510.6833119392395,18.443295001983643,20.060546875,cc51f31e7fd45c9159a36d995b03fcf49eb01adec9e299b059639f85d018c513
wan_P001_S01,P001_S01,wan,P001,1,human_clothing,easy,human_clothing_0,red,orange,0,-0.0342765748500824,orange,0,503.68649673461914,18.443295001983643,20.060546875,f1618ae6094bd20976dc3670bfdd08af363e8ef712d05e9de4b67fc15d407300
wan_P001_S02,P001_S02,wan,P001,2,human_clothing,easy,human_clothing_0,red,yellow,0,-0.06324467062950134,yellow,0,520.187694311142,18.443295001983643,20.060546875,6bea477a91d3e53c074ee3187c3f9366b7b1cb8430d99419748c4e48f5e07db2
wan_P001_S03,P001_S03,wan,P001,3,human_clothing,easy,human_clothing_0,red,yellow,0,-0.04970508813858032,yellow,0,504.8055737018585,18.442835330963135,19.974609375,1a4169e929a465018ab5301d12b178c940288fc964b0e9648e33502001496598
wan_P002_S00,P002_S00,wan,P002,0,human_clothing,easy,human_clothing_1,blue,green,0,-0.0017212927341461182,blue,1,511.79000329971313,18.442835330963135,19.974609375,31d91491b55a54b60009d6a1667e1fe61ba107c05f4b8e2f785f8a7a21790ea6
wan_P002_S01,P002_S01,wan,P002,1,human_clothing,easy,human_clothing_1,blue,blue,1,0.016355976462364197,blue,1,520.6539103984833,18.442835330963135,19.974609375,89a21b13b575ea400713c390944ea6c5e6d1775269c1a650a857abedde3c71bc
wan_P002_S02,P002_S02,wan,P002,2,human_clothing,easy,human_clothing_1,blue,green,0,-0.017522260546684265,green,0,505.0425410270691,18.44283151626587,19.8515625,1a8e1280f906eb92fa745077a2a871630719e460cccdb818ce563b4dce6e1eb2
wan_P002_S03,P002_S03,wan,P002,3,human_clothing,easy,human_clothing_1,blue,gray,0,-0.012083575129508972,gray,0,512.4100184440613,18.44283151626587,19.8515625,3f4688314eb4530db340739d6c10fa9a788a0f7f02a642f9f0cfdfb3d34852a2
wan_P003_S00,P003_S00,wan,P003,0,human_clothing,medium,human_clothing_0,red,green,0,-0.039049163460731506,green,0,521.4322032928467,18.44283151626587,19.8515625,57a355bae451461f40058f9a14bedefe35e56fa61d94d770a715bfe9dcfcfd5d
wan_P003_S01,P003_S01,wan,P003,1,human_clothing,medium,human_clothing_0,red,yellow,0,-0.04146471619606018,yellow,0,505.449579000473,18.442827701568604,19.5546875,7363dc5ffb3a70d4c8aeb2320e8d4a23774ac77ab2a096324c4ab455d4bb9433
wan_P003_S02,P003_S02,wan,P003,2,human_clothing,medium,human_clothing_0,red,green,0,-0.04161489009857178,yellow,0,512.3405222892761,18.442827701568604,19.5546875,2ff203fa8bb9f999848917b186de58e659a11b362db1cd142a0e1c13bb3154b5
wan_P003_S03,P003_S03,wan,P003,3,human_clothing,medium,human_clothing_0,red,yellow,0,-0.042865753173828125,green,0,522.345046043396,18.442827701568604,19.5546875,9dde175b32656cb4a500aeabd5213031724e312020a0292bed99cfb95d24ec54
wan_P004_S00,P004_S00,wan,P004,0,human_clothing,medium,human_clothing_1,blue,blue,1,0.009439021348953247,blue,1,505.4885776042938,18.442827701568604,19.6015625,e312831ace5ba541d981bdb0b64ccfd4ad10e5d3dedc3947358904ffa9fbe055
wan_P004_S01,P004_S01,wan,P004,1,human_clothing,medium,human_clothing_1,blue,blue,1,0.008487880229949951,blue,1,512.493399143219,18.442827701568604,19.6015625,69dadab125ba304f07f55496e96346a09fbd257dc679eb944cd97a2ab80c2b7c
wan_P004_S02,P004_S02,wan,P004,2,human_clothing,medium,human_clothing_1,blue,green,0,-0.0016076862812042236,blue,1,522.6402499675751,18.442827701568604,19.6015625,7d699b303fc4f97030daa04a2c4d0dc7bd37cf03a2e0f33a392ec3761e77d18c
wan_P004_S03,P004_S03,wan,P004,3,human_clothing,medium,human_clothing_1,blue,green,0,-0.016729161143302917,green,0,510.15178632736206,18.443295001983643,20.060546875,2b247a0cbfa68d7fd1633264d145229d9e071330a6967df68ed2040ae79a7dd2
wan_P005_S00,P005_S00,wan,P005,0,human_clothing,stress,human_clothing_0,red,yellow,0,-0.036421746015548706,yellow,0,505.6447265148163,18.44287347793579,19.611328125,b4c771c61308ebac4c18a4a54d9359b9d96cf6fb4f821adb776e79d834a36123
wan_P005_S01,P005_S01,wan,P005,1,human_clothing,stress,human_clothing_0,red,yellow,0,-0.017411038279533386,yellow,0,512.7855222225189,18.44287347793579,19.611328125,01806d3709896f23d216f8cb720c3dd76826d533fc56cdaba9b5e91edd3835a8
wan_P005_S02,P005_S02,wan,P005,2,human_clothing,stress,human_clothing_0,red,yellow,0,-0.042559295892715454,yellow,0,523.5849351882935,18.44287347793579,19.611328125,6dc45514080c3ebd92ea8eeb9bba7765a0b2a439edde25572906dd216d42f6b9
wan_P005_S03,P005_S03,wan,P005,3,human_clothing,stress,human_clothing_0,red,orange,0,-0.028758376836776733,green,0,509.57207202911377,18.442835330963135,19.974609375,215e8743464bc8acacccff7e8f11ee48c361974e5a778e8a83cf93e7fb9dfd6e
wan_P006_S00,P006_S00,wan,P006,0,human_accessory,easy,human_accessory_0,yellow,yellow,1,0.03323766589164734,yellow,1,505.3878939151764,18.442827701568604,20.021484375,4fafa083cc6f8a048953f5f943ed75d958a5500f35b1bd88b0c748883b9e9579
wan_P006_S01,P006_S01,wan,P006,1,human_accessory,easy,human_accessory_0,yellow,yellow,1,0.026497066020965576,yellow,1,513.9213616847992,18.442827701568604,20.021484375,5ae072058186f0e8cc82b0d32629f9174889c1f27b31aac4ae8e10ce22677a79
